station_group_slug,station_name_hiragana,station_name_katakana,station_name_initial_kana,note
ashikese-iwate-toonoshi,あしがせ,アシガセ,あ,
ashinomakionsen-fukushima-aizuwakamatsushi,あしのまきおんせん,アシノマキオンセン,あ,
ashinomakionsenminami-fukushima-aizuwakamatsushi,あしのまきおんせんみなみ,アシノマキオンセンミナミ,あ,
asumomae-shizuoka-koseishi,あすもまえ,アスモマエ,あ,
awakesaki-ishikawa-uchinadamachi,あわがさき,アワガサキ,あ,
awashima（oosakayashoppumae）-toyama-toyamashi,あわしま（おおさかやしょっぷまえ）,アワシマ（オオサカヤショップマエ）,あ,
ayanomachi-osaka-sakaishi,あやのまち,アヤノマチ,あ,
basusentaamae-hokkaido-sapporoshi,ばすせんたーまえ,バスセンターマエ,は,
beisaido･suteeshon-chiba-urayasushi,べいさいど・すてーしょん,ベイサイド・ステーション,は,
berumae-fukui-fukuishi,べるまえ,ベルマエ,は,
bitchuukamishiro-okayama-niimishi,びっちゅうこうじろ,ビッチュウコウジロ,は,神代=こうじろ は当駅固有の読み
bokushisato-shizuoka-izushi,まきのさと,マキノサト,ま,牧之郷=まきのさと
bouekisentaa-hyogo-koubeshi,ぼうえきせんたー,ボウエキセンター,は,
chayakesaka-aichi-nagoyashi,ちゃやがさか,チャヤガサカ,た,
chibanyuutaunchuuou-chiba-inzaishi,ちばにゅーたうんちゅうおう,チバニュータウンチュウオウ,た,
chigasaki-kanagawa-chigasakishi,ちがさき,チガサキ,た,
chikusentaa-chiba-sakurashi,ちくせんたー,チクセンター,た,
chitetsubirumae-toyama-toyamashi,ちてつびるまえ,チテツビルマエ,た,
chiyokeoka-hokkaido-asahikawashi,ちよがおか,チヨガオカ,た,
chokese-gifu-kagamiharashi,おがせ,オガセ,あ,苧ヶ瀬=おがせ
choujakehamashiosaihamanasukouenmae-ibaraki-kashimashi,ちょうじゃがはましおさいはまなすこうえんまえ,チョウジャガハマシオサイハマナスコウエンマエ,た,
choutanoura-mie-suzukashi,なごのうら,ナゴノウラ,な,長太=なご は地名固有の読み
chuuoudaigaku.meiseidaigaku-tokyo-hachioujishi,ちゅうおうだいがく・めいせいだいがく,チュウオウダイガク・メイセイダイガク,た,中黒は駅名の一部
daijin-oita-hinodemachi,おおが,オオガ,あ,大神=おおが（日豊本線）
daijinguushita-chiba-funabashishi,だいじんぐうした,ダイジングウシタ,た,
denkibirumae-toyama-toyamashi,でんきびるまえ,デンキビルマエ,た,
dentetsutaaminarubirumae-kochi-kouchishi,でんてつたーみなるびるまえ,デンテツターミナルビルマエ,た,
dentetsutoyamaeki.esutamae-toyama-toyamashi,でんてつとやまえき・えすたまえ,デンテツトヤマエキ・エスタマエ,た,中黒は駅名の一部
doomumae-osaka-oosakashi,どーむまえ,ドームマエ,た,
doomumaechiyozaki-osaka-oosakashi,どーむまえちよざき,ドームマエチヨザキ,た,
doushishamae-kyoto-kyoutanabeshi,どうししゃまえ,ドウシシャマエ,た,
echigohorinouchi-niigata-uonumashi,えちごほりのうち,エチゴホリノウチ,あ,
eganosou-osaka-habikinoshi,えがのしょう,エガノショウ,あ,
eikeshima-hyogo-akashishi,えいがしま,エイガシマ,あ,
enshuunishikesaki-shizuoka-hamamatsushi,えんしゅうにしがさき,エンシュウニシガサキ,あ,
erinono-kochi-sagawamachi,えりのの,エリノノ,あ,
etsukehama-yamaguchi-hagishi,こしがはま,コシガハマ,か,越ヶ浜=こしがはま
etsunokata-toyama-imizushi,こしのかた,コシノカタ,か,越ノ潟=こしのかた
famiriikouenmae-nara-yamatokooriyamashi,ふぁみりーこうえんまえ,ファミリーコウエンマエ,は,
feriitaaminaru-osaka-oosakashi,ふぇりーたーみなる,フェリーターミナル,は,
fujifuirumumae-kanagawa-minamiashigarashi,ふじふいるむまえ,フジフイルムマエ,は,
fujikyuuhairando-yamanashi-fujikawaguchikomachi,ふじきゅうはいらんど,フジキュウハイランド,は,
fujimikeoka-tokyo-suginamiku,ふじみがおか,フジミガオカ,は,
fujinoki-fukuoka-kitakyuushuushi,ふじのき,フジノキ,は,
fujitekkumae-shiga-hikoneshi,ふじてっくまえ,フジテックマエ,は,
fukujin-nara-ooyodomachi,ふくじん,フクジン,は,
furawaataun-hyogo-mitashi,ふらわーたうん,フラワータウン,は,
furuutsupaaku-shizuoka-hamamatsushi,ふるーつぱーく,フルーツパーク,は,
futagamijinjakuchi-nara-katsuragishi,ふたかみじんじゃぐち,フタカミジンジャグチ,は,
gaarayuzawa-niigata-yuzawamachi,がーらゆざわ,ガーラユザワ,か,
gakkennaratomikeoka-nara-ikomashi,がっけんならとみがおか,ガッケンナラトミガオカ,か,
gannosu-fukuoka-fukuokashi,がんのす,ガンノス,か,
gatsukeseguchi-kyoto-minamiyamashiromura,つきがせぐち,ツキガセグチ,た,
geibikei-iwate-ichizekishi,げいびけい,ゲイビケイ,か,
genbakudoomumae-hiroshima-hiroshimashi,げんばくどーむまえ,ゲンバクドームマエ,か,
gonosan-aichi-yatomishi,ごのさん,ゴノサン,か,
gosha-hyogo-koubeshi,ごしゃ,ゴシャ,か,
gunmasouja-gunma-maebashishi,ぐんまそうじゃ,グンマソウジャ,か,
gurandopurazamae-toyama-toyamashi,ぐらんどぷらざまえ,グランドプラザマエ,か,
gurandotoori-kochi-kouchishi,ぐらんどどおり,グランドドオリ,か,
haabaarando-hyogo-koubeshi,はーばーらんど,ハーバーランド,は,
haamoniihooru-fukui-fukuishi,はーもにーほーる,ハーモニーホール,は,
hachinohenosato-osaka-higashioosakashi,やとのさと,ヤトノサト,や,八戸=やと（近鉄奈良線）
hachitsushima-fukui-fukuishi,やつしま,ヤツシマ,や,
haginochaya-osaka-oosakashi,はぎのちゃや,ハギノチャヤ,は,
hagiwaratenjin-osaka-sakaishi,はぎわらてんじん,ハギワラテンジン,は,
hajinosato-osaka-fujiiderashi,はじのさと,ハジノサト,は,
hakodateariinamae-hokkaido-hakodateshi,はこだてありーなまえ,ハコダテアリーナマエ,は,
hakonekesaki-tokyo-mizuhomachi,はこねがさき,ハコネガサキ,は,
hamachouaakeedo-nagasaki-nagasakishi,はまのまちあーけーど,ハマノマチアーケード,は,浜町=はまのまち（長崎）
hanedakuukoudai1.dai2taaminaru-tokyo-ootaku,はねだくうこうだいいち・だいにたーみなる,ハネダクウコウダイイチ・ダイニターミナル,は,中黒は駅名の一部
hanedakuukoudai1taaminaru-tokyo-ootaku,はねだくうこうだいいちたーみなる,ハネダクウコウダイイチターミナル,は,
hanedakuukoudai2taaminaru-tokyo-ootaku,はねだくうこうだいにたーみなる,ハネダクウコウダイニターミナル,は,
hanedakuukoudai3taaminaru-tokyo-ootaku,はねだくうこうだいさんたーみなる,ハネダクウコウダイサンターミナル,は,
hanenoura-tokushima-ananshi,はのうら,ハノウラ,は,
hanshinkokudou-hyogo-nishinomiyashi,はんしんこくどう,ハンシンコクドウ,は,
haranomachi-fukushima-minamisoumashi,はらのまち,ハラノマチ,は,
hasukeike-miyazaki-miyazakishi,はすがいけ,ハスガイケ,は,
hatagaya-tokyo-shibuyaku,はたがや,ハタガヤ,は,
hatoketani-saitama-kawaguchishi,はとがや,ハトガヤ,は,
hatonosu-tokyo-okutamamachi,はとのす,ハトノス,は,
hattoritenjin-osaka-toyonakashi,はっとりてんじん,ハットリテンジン,は,
hausutenbosu-nagasaki-saseboshi,はうすてんぼす,ハウステンボス,は,
hibarikeoka-tokyo-nishitoukyoushi,ひばりがおか,ヒバリガオカ,は,
hidaichinomiya-gifu-takayamashi,ひだいちのみや,ヒダイチノミヤ,は,
higashiisahaya-nagasaki-soushi,ひがしいさはや,ヒガシイサハヤ,は,
higashikanagawa-kanagawa-yokohamashi,ひがしかながわ,ヒガシカナガワ,は,
higashinakakami-tokyo-akishimashi,ひがしなかがみ,ヒガシナカガミ,は,中神=なかがみ
higashiyama.okadenmyuujiamu-okayama-okayamashi,ひがしやま・おかでんみゅーじあむ,ヒガシヤマ・オカデンミュージアム,は,中黒は駅名の一部
hikifune-tokyo-sumidaku,ひきふね,ヒキフネ,は,
hinaguonsen-kumamoto-yashiroshi,ひなぐおんせん,ヒナグオンセン,は,
hirekesaki-chiba-nagareyamashi,ひれがさき,ヒレガサキ,は,
hirodenhonshamae-hiroshima-hiroshimashi,ひろでんほんしゃまえ,ヒロデンホンシャマエ,は,
hirokamiko-gifu-koubemachi,ひろごうど,ヒロゴウド,は,神戸=ごうど（岐阜県の読み）
hirokawabiichi-wakayama-hirogawamachi,ひろかわびーち,ヒロカワビーチ,は,
hodogaya-kanagawa-yokohamashi,ほどがや,ホドガヤ,は,
honisahaya（isahayashiyakushomae）-nagasaki-soushi,ほんいさはや（いさはやしやくしょまえ）,ホンイサハヤ（イサハヤシヤクショマエ）,は,
horinonai-kanagawa-yokosukashi,ほりのうち,ホリノウチ,は,
hoshikeoka-aichi-nagoyashi,ほしがおか,ホシガオカ,は,
hoshikeoka-osaka-hirakatashi,ほしがおか,ホシガオカ,は,
ichigaya-tokyo-chiyodaku,いちがや,イチガヤ,あ,
ichigaya-tokyo-shinjukuku,いちがや,イチガヤ,あ,
ichinoe-tokyo-edogawaku,いちのえ,イチノエ,あ,
ichinoseki-iwate-ichizekishi,いちのせき,イチノセキ,あ,
ichinowari-saitama-kasukabeshi,いちのわり,イチノワリ,あ,
ichitsuki-aichi-kariyashi,ひとつき,ヒトツキ,は,一ツ木=ひとつき
idoketani-kanagawa-yokohamashi,いどがや,イドガヤ,あ,
igakoube-mie-igashi,いがかんべ,イガカンベ,あ,神戸=かんべ（伊賀の読み）
ikarikekan-aomori-hirakawashi,いかりがせき,イカリガセキ,あ,
ikenoue-tokyo-setagayaku,いけのうえ,イケノウエ,あ,
inabasha-tottori-tottorishi,いなばやしろ,イナバヤシロ,あ,要確認
inamurakesaki-kanagawa-kamakurashi,いなむらがさき,イナムラガサキ,あ,
intekkuhonshamae-toyama-toyamashi,いんてっくほんしゃまえ,インテックホンシャマエ,あ,
irikeikekouen-aichi-nagakuteshi,いりがいけこうえん,イリガイケコウエン,あ,杁=いり は地名固有
iryousentaa-hyogo-koubeshi,いりょうせんたー,イリョウセンター,あ,
isahaya-nagasaki-soushi,いさはや,イサハヤ,あ,
isahayahigashikoukou-nagasaki-soushi,いさはやひがしこうこう,イサハヤヒガシコウコウ,あ,
isahaya（unzen.shimabarakuchi）-nagasaki-soushi,いさはや（うんぜん・しまばらぐち）,イサハヤ（ウンゼン・シマバラグチ）,あ,中黒は駅名の一部
ishigamimae-tokyo-oumeshi,いしがみまえ,イシガミマエ,あ,
ishikawapuurumae-aomori-hirosakishi,いしかわぷーるまえ,イシカワプールマエ,あ,
ishiuchidamu-kumamoto-joushi,いしうちだむ,イシウチダム,あ,
isonoura-wakayama-wakayamashi,いそのうら,イソノウラ,あ,
issha-aichi-nagoyashi,いっしゃ,イッシャ,あ,
isuzukeoka-mie-iseshi,いすずがおか,イスズガオカ,あ,
iwaharasukiibamae-niigata-yuzawamachi,いわっぱらすきーじょうまえ,イワッパラスキージョウマエ,あ,岩原=いわっぱら
iwanoshita-iwate-ichizekishi,いわのした,イワノシタ,あ,
izumigaoka-osaka-sakaishi,いずみがおか,イズミガオカ,あ,
izumojinzai-shimane-izumoshi,いずもじんざい,イズモジンザイ,あ,神西=じんざい
izumokagakukanpaakutaunmae-shimane-izumoshi,いずもかがくかんぱーくたうんまえ,イズモカガクカンパークタウンマエ,あ,
izumotaishamae-shimane-izumoshi,いずもたいしゃまえ,イズモタイシャマエ,あ,
jinbohara-saitama-kamizatomachi,じんぼはら,ジンボハラ,さ,
jinbouchou-tokyo-chiyodaku,じんぼうちょう,ジンボウチョウ,さ,町=ちょう
jinguuji-akita-daisenshi,じんぐうじ,ジングウジ,さ,
jinguumae-aichi-nagoyashi,じんぐうまえ,ジングウマエ,さ,
jinguumarutamachi-kyoto-kyoutoshi,じんぐうまるたまち,ジングウマルタマチ,さ,
jinguunishi-aichi-nagoyashi,じんぐうにし,ジングウニシ,さ,
jinmachi-yamagata-higashineshi,じんまち,ジンマチ,さ,
jinmei-fukui-sabaeshi,しんめい,シンメイ,さ,
jinmutera-kanagawa-zushishi,じんむじ,ジンムジ,さ,寺=じ
jinzuikousaten-kumamoto-kumamotoshi,くわみずこうさてん,クワミズコウサテン,か,神水=くわみず（熊本の読み）
jiyatokomae-shizuoka-fujishi,じやとこまえ,ジヤトコマエ,さ,
jiyuugaoka-aichi-nagoyashi,じゆうがおか,ジユウガオカ,さ,
jouetsukokusaisukiibamae-niigata-minamiuonumashi,じょうえつこくさいすきーじょうまえ,ジョウエツコクサイスキージョウマエ,さ,
jougasakikaigan-shizuoka-itoushi,じょうがさきかいがん,ジョウガサキカイガン,さ,
joumonshouketa-akita-kitaakitashi,じょうもんおがた,ジョウモンオガタ,さ,
joushuuichinomiya-gunma-tomiokashi,じょうしゅういちのみや,ジョウシュウイチノミヤ,さ,上州=じょうしゅう
juufukeuromikishi-iwate-nodamura,じゅうふがうらかいがん,ジュウフガウラカイガン,さ,十府=じゅうふ
juunokou-osaka-oosakashi,すみのえ,スミノエ,さ,
jvirejji-fukushima-narahamachi,じぇいびれっじ,ジェイビレッジ,さ,要確認
kagamikehara-gifu-kagamiharashi,かがみがはら,カガミガハラ,か,
kaguraoka-hokkaido-asahikawashi,かぐらおか,カグラオカ,か,
kagurazaka-tokyo-shinjukuku,かぐらざか,カグラザカ,か,
kaikonosha-kyoto-kyoutoshi,かいこのやしろ,カイコノヤシロ,か,蚕ノ社=かいこのやしろ
kairakuen-ibaraki-mitoshi,かいらくえん,カイラクエン,か,
kakarikan-hokkaido-morimachi,かかりま,カカリマ,か,澗=ま
kakikeshima-fukui-oonoshi,かきがしま,カキガシマ,か,
kamakefuchi-toyama-tateyamamachi,かまがふち,カマガフチ,か,
kamaketani-chiba-kamagayashi,かまがや,カマガヤ,か,
kamaketanidaibutsu-chiba-kamagayashi,かまがやだいぶつ,カマガヤダイブツ,か,
kamanohana-nagasaki-soushi,かまのはな,カマノハナ,か,
kameidosuijin-tokyo-koutouku,かめいどすいじん,カメイドスイジン,か,
kamihatake-nagano-uedashi,かみはたけ,カミハタケ,か,要確認
kamiishikamii-tokyo-nerimaku,かみしゃくじい,カミシャクジイ,か,
kamiizumi-tokyo-shibuyaku,しんせん,シンセン,さ,
kamijou-nagano-hakubamura,かみしろ,カミシロ,か,神城=かみしろ
kamikanbai-gunma-midorishi,かみかんばい,カミカンバイ,か,
kamikokorozashiyama-mie-mihamamachi,こうしやま,コウシヤマ,か,神志山=こうしやま
kamime-okayama-kumenanmachi,こうめ,コウメ,か,
kamimuragakuenmae-kagoshima-ichikikushikinoshi,かみむらがくえんまえ,カミムラガクエンマエ,か,
kaminogou-mie-shimashi,かみのごう,カミノゴウ,か,
kaminoki-osaka-oosakashi,かみのき,カミノキ,か,
kamio-shizuoka-shimadashi,かみお,カミオ,か,
kamisawa-aichi-nagoyashi,かみさわ,カミサワ,か,
kamishiro-akita-senbokushi,じんだい,ジンダイ,さ,神代=じんだい（田沢湖線）
kamishiro-yamaguchi-iwakunishi,こうじろ,コウジロ,か,神代=こうじろ 要確認
kamishiro（nabeshimateizen）-nagasaki-unzenshi,こうじろ（なべしまていまえ）,コウジロ（ナベシマテイマエ）,か,神代=こうじろ（島原鉄道）
kamisugi-hiroshima-mitsugishi,かみすぎ,カミスギ,か,
kamiya-shizuoka-fujishi,かみや,カミヤ,か,
kamiyachou-tokyo-minatoku,かみやちょう,カミヤチョウ,か,町=ちょう
kamiyama-niigata-aganoichi,かみやま,カミヤマ,か,
kamiyashiro-aichi-nagoyashi,かみやしろ,カミヤシロ,か,
kanagawa-kanagawa-yokohamashi,かながわ,カナガワ,か,
kanagawashinmachi-kanagawa-yokohamashi,かながわしんまち,カナガワシンマチ,か,
kanda-nagasaki-sasamachi,こうだ,コウダ,か,神田=こうだ（松浦鉄道） 要確認
kanda-tokyo-chiyodaku,かんだ,カンダ,か,
kandachi-ibaraki-tsuchiurashi,かんだち,カンダチ,か,
kanda（koutsuukyokumae）-kagoshima-kagoshimashi,しんでん（こうつうきょくまえ）,シンデン（コウツウキョクマエ）,さ,神田=しんでん（鹿児島市電）
kanekefuchi-tokyo-sumidaku,かねがふち,カネガフチ,か,
kankehara-gifu-sekigaharamachi,せきがはら,セキガハラ,さ,
kanmata-fukushima-tamurashi,かんまた,カンマタ,か,
kannabe-hiroshima-fukuyamashi,かんなべ,カンナベ,か,神辺=かんなべ
kanno-hyogo-kakogawashi,かんの,カンノ,か,神野=かんの
kannomiya-mie-tsushi,せきのみや,セキノミヤ,さ,
kanyuushahikosan-fukuoka-soedamachi,かんゆうしゃひこさん,カンユウシャヒコサン,か,
kanzaki-saga-kanzakishi,かんざき,カンザキ,か,
kanzakigawa-osaka-oosakashi,かんざきがわ,カンザキガワ,か,
kan々saka-kumamoto-kumamotoshi,かんかんざか,カンカンザカ,か,韓々坂=かんかんざか
kashiharajinguumae-nara-kashiharashi,かしはらじんぐうまえ,カシハラジングウマエ,か,
kashiharajinguunishiguchi-nara-kashiharashi,かしはらじんぐうにしぐち,カシハラジングウニシグチ,か,
kashiijinguu-fukuoka-fukuokashi,かしいじんぐう,カシイジングウ,か,
kashimajinguu-ibaraki-kashimashi,かしまじんぐう,カシマジングウ,か,
kashimasakkaasutajiamu-ibaraki-kashimashi,かしまさっかーすたじあむ,カシマサッカースタジアム,か,
kashiwanohakyanpasu-chiba-kashiwashi,かしわのはきゃんぱす,カシワノハキャンパス,か,
kasumigaseki-saitama-kawagoeshi,かすみがせき,カスミガセキ,か,
kasumigaseki-tokyo-chiyodaku,かすみがせき,カスミガセキ,か,
kasumikeoka-hyogo-koubeshi,かすみがおか,カスミガオカ,か,
kasumikeoka-nara-ikomashi,かすみがおか,カスミガオカ,か,
kasumikeura-mie-yokkaichishi,かすみがうら,カスミガウラ,か,
katabiranotsuji-kyoto-kyoutoshi,かたびらのつじ,カタビラノツジ,か,
katasekounoshima-kanagawa-fujisawashi,かたせえのしま,カタセエノシマ,か,
kawanoe-ehime-shikokuchuuoushi,かわのえ,カワノエ,か,
kawarakehama-shiga-ootsushi,かわらがはま,カワラガハマ,か,
kazusaichinomiya-chiba-ichinomiyamachi,かずさいちのみや,カズサイチノミヤ,か,
keeburuenryakutera-shiga-ootsushi,けーぶるえんりゃくじ,ケーブルエンリャクジ,か,
keeburuhachimanguukuchi-kyoto-yahatashi,けーぶるはちまんぐうぐち,ケーブルハチマングウグチ,か,
keeburuhachimanguuyamagami-kyoto-yahatashi,けーぶるはちまんぐうさんじょう,ケーブルハチマングウサンジョウ,か,
keeburuhiei-kyoto-kyoutoshi,けーぶるひえい,ケーブルヒエイ,か,
keeburusakamoto-shiga-ootsushi,けーぶるさかもと,ケーブルサカモト,か,
keeburuyamagami-hyogo-kawanishishi,けーぶるさんじょう,ケーブルサンジョウ,か,
keeburuyase-kyoto-kyoutoshi,けーぶるやせ,ケーブルヤセ,か,八瀬=やせ
keikyuuhigashikanagawa-kanagawa-yokohamashi,けいきゅうひがしかながわ,ケイキュウヒガシカナガワ,か,
keiouhorinouchi-tokyo-hachioujishi,けいおうほりのうち,ケイオウホリノウチ,か,
keioutamasentaa-tokyo-tamashi,けいおうたませんたー,ケイオウタマセンター,か,
keiouyomiurirando-tokyo-inagishi,けいおうよみうりらんど,ケイオウヨミウリランド,か,
keisankagakusentaa-hyogo-koubeshi,けいさんかがくせんたー,ケイサンカガクセンター,か,
keiseihikifune-tokyo-sumidaku,けいせいひきふね,ケイセイヒキフネ,か,
kiboukeoka-kanagawa-yokohamashi,きぼうがおか,キボウガオカ,か,
kiikamiya-wakayama-takanomachi,きいかみや,キイカミヤ,か,
kiinakanoshima-wakayama-wakayamashi,きいなかのしま,キイナカノシマ,か,
kiiurakami-wakayama-nachikatsuuramachi,きいうらかみ,キイウラカミ,か,
kinkesaki-iwate-kanegasakimachi,かねがさき,カネガサキ,か,
kinohon-shiga-nagahamashi,きのもと,キノモト,か,
kinokawa-wakayama-wakayamashi,きのかわ,キノカワ,か,
kinoshita-nagano-minowamachi,きのした,キノシタ,か,
kirishimajinguu-kagoshima-kirishimashi,きりしまじんぐう,キリシマジングウ,か,
kishimojinmae-tokyo-toshimaku,きしぼじんまえ,キシボジンマエ,か,
kitachigasaki-kanagawa-chigasakishi,きたちがさき,キタチガサキ,か,
kitahorinouchi-niigata-uonumashi,きたほりのうち,キタホリノウチ,か,
kitakinkesawa-aomori-fukauramachi,きたかねがさわ,キタカネガサワ,か,
kitakoube-gifu-koubemachi,きたごうど,キタゴウド,か,神戸=ごうど（岐阜県の読み）
kitashin.matsumotodaigakumae-nagano-matsumotoshi,きたしん・まつもとだいがくまえ,キタシン・マツモトダイガクマエ,か,中黒は駅名の一部
kitsunekesaki-shizuoka-shizuokashi,きつねがさき,キツネガサキ,か,
kiyoshikoujin-hyogo-takarazukashi,きよしこうじん,キヨシコウジン,か,
koganejoushi-chiba-matsudoshi,こがねじょうし,コガネジョウシ,か,小金城趾=こがねじょうし
koigakubo-tokyo-kokubunjishi,こいがくぼ,コイガクボ,か,
kokusaisentaa-aichi-nagoyashi,こくさいせんたー,コクサイセンター,か,
kokusaisentaa-miyagi-sendaishi,こくさいせんたー,コクサイセンター,か,
komagane-nagano-komaganeshi,こまがね,コマガネ,か,
komakegaku-hokkaido-morimachi,こまがたけ,コマガタケ,か,
komakehayashi-hyogo-koubeshi,こまがばやし,コマガバヤシ,か,駒ヶ林=こまがばやし
komakemine-fukushima-shinjimachi,こまがみね,コマガミネ,か,
komaketani-osaka-habikinoshi,こまがたに,コマガタニ,か,
komenotsu-kagoshima-izumishi,こめのつ,コメノツ,か,
komurajinjamae-kochi-hidakamura,こむらじんじゃまえ,コムラジンジャマエ,か,
koshigayareikutaun-saitama-koshigayashi,こしがやれいくたうん,コシガヤレイクタウン,か,
kosumosukuea-osaka-oosakashi,こすもすくえあ,コスモスクエア,か,
koube-aichi-taharashi,かんべ,カンベ,か,神戸=かんべ（豊橋鉄道）
koube-gunma-midorishi,ごうど,ゴウド,か,神戸=ごうど（わたらせ渓谷鉄道）
koube-hyogo-koubeshi,こうべ,コウベ,か,
koubekuukou-hyogo-koubeshi,こうべくうこう,コウベクウコウ,か,
koubesannomiya-hyogo-koubeshi,こうべさんのみや,コウベサンノミヤ,か,
koumi-gifu-motosushi,こうみ,コウミ,か,
kounoshima-kanagawa-fujisawashi,えのしま,エノシマ,あ,江ノ島=えのしま
kounotorinosato-hyogo-toyookashi,こうのとりのさと,コウノトリノサト,か,
kousokukoube-hyogo-koubeshi,こうそくこうべ,コウソクコウベ,か,
koutsuusentaamae-wakayama-wakayamashi,こうつうせんたーまえ,コウツウセンターマエ,か,
kouyagorufubamae-hyogo-mikishi,ひろのごるふじょうまえ,ヒロノゴルフジョウマエ,は,
kouyukihara-oita-yuushi,むかいのはる,ムカイノハル,ま,向之原=むかいのはる
kumagane-miyagi-sendaishi,くまがね,クマガネ,か,
kumamotojou.shiyakushomae-kumamoto-kumamotoshi,くまもとじょう・しやくしょまえ,クマモトジョウ・シヤクショマエ,か,中黒は駅名の一部
kumayukishiro-kagoshima-satsumasendaishi,くまのじょう,クマノジョウ,か,
kunkehama-chiba-choushishi,きみがはま,キミガハマ,か,
kurepootopia-hiroshima-kureshi,くれぽーとぴあ,クレポートピア,か,
kurumazakijinja-kyoto-kyoutoshi,くるまざきじんじゃ,クルマザキジンジャ,か,車折=くるまざき
kushikehama-yamaguchi-shuuminamiichi,くしがはま,クシガハマ,か,
kuukoudai2biru-chiba-naritashi,くうこうだいにびる,クウコウダイニビル,か,
kyoukese-niigata-aganoichi,きょうがせ,キョウガセ,か,
kyouseramae-shiga-higashioumishi,きょうせらまえ,キョウセラマエ,か,
kyuukaniryousentaamae-toyama-takaokashi,きゅうかんいりょうせんたーまえ,キュウカンイリョウセンターマエ,か,
kyuukyoryuuchi.daimarumae-hyogo-koubeshi,きゅうきょりゅうち・だいまるまえ,キュウキョリュウチ・ダイマルマエ,か,中黒は駅名の一部
kyuunohama-fukushima-iwakishi,ひさのはま,ヒサノハマ,は,久ノ浜=ひさのはま
maeyukihama-kagoshima-kagoshimashi,まえのはま,マエノハマ,ま,
makino-shiga-takashimashi,まきの,マキノ,ま,
manketsuka-miyazaki-miyakonojoushi,まんがつか,マンガツカ,ま,
marinpaaku-hyogo-koubeshi,まりんぱーく,マリンパーク,ま,
marunouchi-aichi-kiyosushi,まるのうち,マルノウチ,ま,
matsuefoogerupaaku-shimane-matsueshi,まつえふぉーげるぱーく,マツエフォーゲルパーク,ま,
matsueingurisshugaadenmae-shimane-matsueshi,まつえいんぐりっしゅがーでんまえ,マツエイングリッシュガーデンマエ,ま,
matsugasaki-kyoto-kyoutoshi,まつがさき,マツガサキ,ま,
matsugasaki-mie-matsusakashi,まつがさき,マツガサキ,ま,
matsukami-aomori-fukauramachi,まつかみ,マツカミ,ま,
matsukeura-kagoshima-minamikyuushuushi,まつがうら,マツガウラ,ま,
matsunobaba-shiga-ootsushi,まつのばば,マツノババ,ま,
matsunohama-osaka-izumiootsushi,まつのはま,マツノハマ,ま,
matsuotaisha-kyoto-kyoutoshi,まつおたいしゃ,マツオタイシャ,ま,
mayakeeburu-hyogo-koubeshi,まやけーぶる,マヤケーブル,ま,
medikarusentaa-nagasaki-nagasakishi,めでぃかるせんたー,メディカルセンター,ま,
mefujinja-hyogo-takarazukashi,めふじんじゃ,メフジンジャ,ま,
meijijinguumae-tokyo-shibuyaku,めいじじんぐうまえ,メイジジングウマエ,ま,
