station_group_slug,station_name,hiragana,katakana,initial_kana,reason
"ichinoseki-iwate-ichizekishi","一ノ関","いちノせき","イチノセキ","あ","katakana_remains"
"ichinowari-saitama-kasukabeshi","一ノ割","いちノわり","イチノワリ","あ","katakana_remains"
"ichitsuki-aichi-kariyashi","一ツ木","ひとツぎ","ヒトツギ","は","katakana_remains"
"idoketani-kanagawa-yokohamashi","井土ヶ谷","いどヶたに","イドヶタニ","あ","kanji_remains;katakana_remains"
"ikenoue-tokyo-setagayaku","池ノ上","いけノうえ","イケノウエ","あ","katakana_remains"
"intekkuhonshamae-toyama-toyamashi","インテック本社前","インテックほんしゃまえ","インテックホンシャマエ","その他","katakana_remains"
"irikeikekouen-aichi-nagakuteshi","杁ヶ池公園","えぶりヶちこうえん","エブリヶチコウエン","あ","kanji_remains;katakana_remains"
"iryousentaa-hyogo-koubeshi","医療センター","いりょうセンター","イリョウセンター","あ","katakana_remains"
"isahaya-nagasaki-soushi","諫早","諫はや","諫ハヤ","その他","kanji_remains"
"isahaya-nagasaki-soushi","諫早","諫はや","諫ハヤ","その他","kanji_remains"
"isahaya-nagasaki-soushi","諫早","諫はや","諫ハヤ","その他","kanji_remains"
"isahayahigashikoukou-nagasaki-soushi","諫早東高校","諫はやひがしこうこう","諫ハヤヒガシコウコウ","その他","kanji_remains"
"isahaya（unzen.shimabarakuchi）-nagasaki-soushi","諫早（雲仙・島原口）","諫はや（うんぜん・しまばらぐち）","諫ハヤ（ウンゼン・シマバラグチ）","その他","kanji_remains;katakana_remains"
"ishikawapuurumae-aomori-hirosakishi","石川プール前","いしかわプールまえ","イシカワプールマエ","あ","katakana_remains"
"ishiuchidamu-kumamoto-joushi","石打ダム","いしうちダム","イシウチダム","あ","katakana_remains"
"isonoura-wakayama-wakayamashi","磯ノ浦","いそノうら","イソノウラ","あ","katakana_remains"
"isuzukeoka-mie-iseshi","五十鈴ヶ丘","いすずヶおか","イスズヶオカ","あ","kanji_remains;katakana_remains"
"iwaharasukiibamae-niigata-yuzawamachi","岩原スキー場前","いわはらスキーじょうまえ","イワハラスキージョウマエ","あ","katakana_remains"
"iwanoshita-iwate-ichizekishi","岩ノ下","いわノした","イワノシタ","あ","katakana_remains"
"izumokagakukanpaakutaunmae-shimane-izumoshi","出雲科学館パークタウン前","いずもかがくかんパークタウンまえ","イズモカガクカンパークタウンマエ","あ","katakana_remains"
"jiyatokomae-shizuoka-fujishi","ジヤトコ前","ジヤトコまえ","ジヤトコマエ","その他","katakana_remains"
"jouetsukokusaisukiibamae-niigata-minamiuonumashi","上越国際スキー場前","じょうえつこくさいスキーじょうまえ","ジョウエツコクサイスキージョウマエ","さ","katakana_remains"
"joushuuichinomiya-gunma-tomiokashi","上州一ノ宮","うえしゅういちノみや","ウエシュウイチノミヤ","あ","katakana_remains"
"juunokou-osaka-oosakashi","住ノ江","すみノえ","スミノエ","さ","katakana_remains"
"jvirejji-fukushima-narahamachi","Jヴィレッジ","Jヴィレッジ","jヴィレッジ","その他","katakana_remains"
"kaikonosha-kyoto-kyoutoshi","蚕ノ社","かいこノしゃ","カイコノシャ","か","katakana_remains"
"kairakuen-ibaraki-mitoshi","偕楽園","偕らくえん","偕ラクエン","その他","kanji_remains"
"kakarikan-hokkaido-morimachi","掛澗","かけ澗","カケ澗","か","kanji_remains"
"kamakefuchi-toyama-tateyamamachi","釜ヶ淵","かまヶふち","カマヶフチ","か","kanji_remains;katakana_remains"
"kamanohana-nagasaki-soushi","釜ノ鼻","かまノはな","カマノハナ","か","katakana_remains"
"kaminoki-osaka-oosakashi","神ノ木","かみノき","カミノキ","か","katakana_remains"
"kanekefuchi-tokyo-sumidaku","鐘ヶ淵","かねヶふち","カネヶフチ","か","kanji_remains;katakana_remains"
"kannomiya-mie-tsushi","関ノ宮","せきノみや","セキノミヤ","さ","katakana_remains"
"kanyuushahikosan-fukuoka-soedamachi","歓遊舎ひこさん","歓遊しゃひこさん","歓遊シャヒコサン","その他","kanji_remains"
"kan々saka-kumamoto-kumamotoshi","韓々坂","かん々さか","カン々サカ","か","kanji_remains"
"kashimasakkaasutajiamu-ibaraki-kashimashi","鹿島サッカースタジアム","かしまサッカースタジアム","カシマサッカースタジアム","か","katakana_remains"
"kashimasakkaasutajiamu-ibaraki-kashimashi","鹿島サッカースタジアム","かしまサッカースタジアム","カシマサッカースタジアム","か","katakana_remains"
"kashiwanohakyanpasu-chiba-kashiwashi","柏の葉キャンパス","かしわのはキャンパス","カシワノハキャンパス","か","katakana_remains"
"katabiranotsuji-kyoto-kyoutoshi","帷子ノ辻","かたびらノつじ","カタビラノツジ","か","katakana_remains"
"katabiranotsuji-kyoto-kyoutoshi","帷子ノ辻","かたびらノつじ","カタビラノツジ","か","katakana_remains"
"katasekounoshima-kanagawa-fujisawashi","片瀬江ノ島","かたせえノしま","カタセエノシマ","か","katakana_remains"
"kazusaichinomiya-chiba-ichinomiyamachi","上総一ノ宮","かつさいちノみや","カツサイチノミヤ","か","katakana_remains"
"keeburuenryakutera-shiga-ootsushi","ケーブル延暦寺","ケーブルえんりゃくじ","ケーブルエンリャクジ","その他","katakana_remains"
"keeburuhachimanguukuchi-kyoto-yahatashi","ケーブル八幡宮口","ケーブルはちまんぐうぐち","ケーブルハチマングウグチ","その他","katakana_remains"
"keeburuhachimanguuyamagami-kyoto-yahatashi","ケーブル八幡宮山上","ケーブルはちまんぐうさんじょう","ケーブルハチマングウサンジョウ","その他","katakana_remains"
"keeburuhiei-kyoto-kyoutoshi","ケーブル比叡","ケーブルひえい","ケーブルヒエイ","その他","katakana_remains"
"keeburusakamoto-shiga-ootsushi","ケーブル坂本","ケーブルさかもと","ケーブルサカモト","その他","katakana_remains"
"keeburuyamagami-hyogo-kawanishishi","ケーブル山上","ケーブルさんじょう","ケーブルサンジョウ","その他","katakana_remains"
"keeburuyase-kyoto-kyoutoshi","ケーブル八瀬","ケーブルはちせ","ケーブルハチセ","その他","katakana_remains"
"keioutamasentaa-tokyo-tamashi","京王多摩センター","けいおうたまセンター","ケイオウタマセンター","か","katakana_remains"
"keiouyomiurirando-tokyo-inagishi","京王よみうりランド","けいおうよみうりランド","ケイオウヨミウリランド","か","katakana_remains"
"keisankagakusentaa-hyogo-koubeshi","計算科学センター","けいさんかがくセンター","ケイサンカガクセンター","か","katakana_remains"
"keiseihikifune-tokyo-sumidaku","京成曳舟","けいせい曳ふね","ケイセイ曳フネ","か","kanji_remains"
"kiinakanoshima-wakayama-wakayamashi","紀伊中ノ島","きいなかノしま","キイナカノシマ","か","katakana_remains"
"kinohon-shiga-nagahamashi","木ノ本","きノもと","キノモト","か","katakana_remains"
"kinokawa-wakayama-wakayamashi","紀ノ川","きノかわ","キノカワ","か","katakana_remains"
"kinokawa-wakayama-wakayamashi","紀ノ川","きノかわ","キノカワ","か","katakana_remains"
"kinoshita-nagano-minowamachi","木ノ下","きノした","キノシタ","か","katakana_remains"
"kitashin.matsumotodaigakumae-nagano-matsumotoshi","北新・松本大学前","きたしん・まつもとだいがくまえ","キタシン・マツモトダイガクマエ","か","katakana_remains"
"kitsunekesaki-shizuoka-shizuokashi","狐ヶ崎","きつねヶさき","キツネヶサキ","か","kanji_remains;katakana_remains"
"koganejoushi-chiba-matsudoshi","小金城趾","しょうきんじょう趾","ショウキンジョウ趾","さ","kanji_remains"
"kokusaisentaa-aichi-nagoyashi","国際センター","こくさいセンター","コクサイセンター","か","katakana_remains"
"kokusaisentaa-miyagi-sendaishi","国際センター","こくさいセンター","コクサイセンター","か","katakana_remains"
"komakehayashi-hyogo-koubeshi","駒ヶ林","こまヶりん","コマヶリン","か","kanji_remains;katakana_remains"
"komenotsu-kagoshima-izumishi","米ノ津","こめノつ","コメノツ","か","katakana_remains"
"koshigayareikutaun-saitama-koshigayashi","越谷レイクタウン","こしがやレイクタウン","コシガヤレイクタウン","か","katakana_remains"
"kosumosukuea-osaka-oosakashi","コスモスクエア","コスモスクエア","コスモスクエア","その他","katakana_remains"
"kosumosukuea-osaka-oosakashi","コスモスクエア","コスモスクエア","コスモスクエア","その他","katakana_remains"
"kounoshima-kanagawa-fujisawashi","江ノ島","えノしま","エノシマ","あ","katakana_remains"
"kounotorinosato-hyogo-toyookashi","コウノトリの郷","コウノトリのさと","コウノトリノサト","その他","katakana_remains"
"koutsuusentaamae-wakayama-wakayamashi","交通センター前","こうつうセンターまえ","コウツウセンターマエ","か","katakana_remains"
"kouyagorufubamae-hyogo-mikishi","広野ゴルフ場前","ひろのゴルフじょうまえ","ヒロノゴルフジョウマエ","は","katakana_remains"
"kumamotojou.shiyakushomae-kumamoto-kumamotoshi","熊本城・市役所前","くまもとじょう・しやくしょまえ","クマモトジョウ・シヤクショマエ","か","katakana_remains"
"kurepootopia-hiroshima-kureshi","呉ポートピア","ごポートピア","ゴポートピア","か","katakana_remains"
"kushikehama-yamaguchi-shuuminamiichi","櫛ヶ浜","くしヶはま","クシヶハマ","か","kanji_remains;katakana_remains"
"kushikehama-yamaguchi-shuuminamiichi","櫛ヶ浜","くしヶはま","クシヶハマ","か","kanji_remains;katakana_remains"
"kuukoudai2biru-chiba-naritashi","空港第2ビル","くうこうだい2ビル","クウコウダイ2ビル","か","katakana_remains"
"kuukoudai2biru-chiba-naritashi","空港第2ビル","くうこうだい2ビル","クウコウダイ2ビル","か","katakana_remains"
"kuukoudai2biru-chiba-naritashi","空港第2ビル","くうこうだい2ビル","クウコウダイ2ビル","か","katakana_remains"
"kyouseramae-shiga-higashioumishi","京セラ前","きょうセラまえ","キョウセラマエ","か","katakana_remains"
"kyuukaniryousentaamae-toyama-takaokashi","急患医療センター前","きゅうかんいりょうセンターまえ","キュウカンイリョウセンターマエ","か","katakana_remains"
"kyuukyoryuuchi.daimarumae-hyogo-koubeshi","旧居留地・大丸前","きゅうきょりゅうち・だいまるまえ","キュウキョリュウチ・ダイマルマエ","か","katakana_remains"
"kyuunohama-fukushima-iwakishi","久ノ浜","ひさノはま","ヒサノハマ","は","katakana_remains"
"makino-shiga-takashimashi","マキノ","マキノ","マキノ","その他","katakana_remains"
"marinpaaku-hyogo-koubeshi","マリンパーク","マリンパーク","マリンパーク","その他","katakana_remains"
"marunouchi-aichi-kiyosushi","丸ノ内","まるノうち","マルノウチ","ま","katakana_remains"
"matsuefoogerupaaku-shimane-matsueshi","松江フォーゲルパーク","まつえフォーゲルパーク","マツエフォーゲルパーク","ま","katakana_remains"
"matsueingurisshugaadenmae-shimane-matsueshi","松江イングリッシュガーデン前","まつえイングリッシュガーデンまえ","マツエイングリッシュガーデンマエ","ま","katakana_remains"
"matsukeura-kagoshima-minamikyuushuushi","松ヶ浦","まつヶうら","マツヶウラ","ま","kanji_remains;katakana_remains"
"matsunobaba-shiga-ootsushi","松ノ馬場","まつノばば","マツノババ","ま","katakana_remains"
"matsunohama-osaka-izumiootsushi","松ノ浜","まつノはま","マツノハマ","ま","katakana_remains"
"mayakeeburu-hyogo-koubeshi","摩耶ケーブル","まやケーブル","マヤケーブル","ま","katakana_remains"
"medikarusentaa-nagasaki-nagasakishi","メディカルセンター","メディカルセンター","メディカルセンター","その他","katakana_remains"
"michinoo-nagasaki-nagasakishi","道ノ尾","みちノお","ミチノオ","ま","katakana_remains"
"minamimachidaguranberiipaaku-tokyo-machidashi","南町田グランベリーパーク","みなみまちだグランベリーパーク","ミナミマチダグランベリーパーク","ま","katakana_remains"
"minamiuddeitaun-hyogo-mitashi","南ウッディタウン","みなみウッディタウン","ミナミウッディタウン","ま","katakana_remains"
"miyajimabootoreesuba-hiroshima-hatsukaichishi","宮島ボートレース場","みやじまボートレースじょう","ミヤジマボートレースジョウ","ま","katakana_remains"
"miyakehama-kagoshima-ibusukishi","宮ヶ浜","みやヶはま","ミヤヶハマ","ま","kanji_remains;katakana_remains"
"miyanoetsu-nagano-kisomachi","宮ノ越","みやノこし","ミヤノコシ","ま","katakana_remains"
"miyanomae-tokyo-arakawaku","宮ノ前","みやノまえ","ミヤノマエ","ま","katakana_remains"
"miyanoshita-kanagawa-hakonemachi","宮ノ下","みやノした","ミヤノシタ","ま","katakana_remains"
"miyanotaira-tokyo-oumeshi","宮ノ平","みやノひら","ミヤノヒラ","ま","katakana_remains"
"mizuumiyuukanshineki-shimane-izumoshi","湖遊館新駅","みずうみ遊かんしんえき","ミズウミ遊カンシンエキ","ま","kanji_remains"
"monoreeruhamamatsuchou-tokyo-minatoku","モノレール浜松町","モノレールはままつまち","モノレールハママツマチ","その他","katakana_remains"
"moreragifu-gifu-motosushi","モレラ岐阜","モレラぎふ","モレラギフ","その他","katakana_remains"
"morinomiya-osaka-oosakashi","森ノ宮","もりノみや","モリノミヤ","ま","katakana_remains"
"morinomiya-osaka-oosakashi","森ノ宮","もりノみや","モリノミヤ","ま","katakana_remains"
"morinomiya-osaka-oosakashi","森ノ宮","もりノみや","モリノミヤ","ま","katakana_remains"
"motomachi.chuukagai-kanagawa-yokohamashi","元町・中華街","もとまち・ちゅうかがい","モトマチ・チュウカガイ","ま","katakana_remains"
"musashimizonokuchi-kanagawa-kawasakishi","武蔵溝ノ口","むさしみぞノくち","ムサシミゾノクチ","ま","katakana_remains"
"nagareyamasentorarupaaku-chiba-nagareyamashi","流山セントラルパーク","ながれやまセントラルパーク","ナガレヤマセントラルパーク","な","katakana_remains"
"nagashimadamu-shizuoka-kawanehonmachi","長島ダム","ながしまダム","ナガシマダム","な","katakana_remains"
"nagoyadoomumaeyada-aichi-nagoyashi","ナゴヤドーム前矢田","ナゴヤドームぜんやた","ナゴヤドームゼンヤタ","その他","katakana_remains"
"nagoyadoomumaeyada-aichi-nagoyashi","ナゴヤドーム前矢田","ナゴヤドームぜんやた","ナゴヤドームゼンヤタ","その他","katakana_remains"
"nakanomachi-chiba-choushishi","仲ノ町","なかノまち","ナカノマチ","な","katakana_remains"
"nakanosawa-hokkaido-oshamanbemachi","中ノ沢","なかノさわ","ナカノサワ","な","katakana_remains"
"nakanoshou-shiga-ootsushi","中ノ庄","なかノしょう","ナカノショウ","な","katakana_remains"
"namekawaairando-chiba-kachiurashi","行川アイランド","なめかわアイランド","ナメカワアイランド","な","katakana_remains"
"nanatsuya-ishikawa-kanazawashi","七ツ屋","ななツや","ナナツヤ","な","katakana_remains"
"naruo.mukogawajoshidaimae-hyogo-nishinomiyashi","鳴尾・武庫川女子大前","なるお・むこがわじょしだいまえ","ナルオ・ムコガワジョシダイマエ","な","katakana_remains"
"nichinodemachi-kanagawa-yokohamashi","日ノ出町","ひノでまち","ヒノデマチ","は","katakana_remains"
"niijima々-nagano-matsumotoshi","新島々","にいじま々","ニイジマ々","な","kanji_remains"
"nijinomatsubara-saga-karatsushi","虹ノ松原","にじノまつばら","ニジノマツバラ","な","katakana_remains"
"ninkeoka-osaka-shijounawateshi","忍ヶ丘","しのぶヶおか","シノブヶオカ","さ","kanji_remains;katakana_remains"
"ninose-kyoto-kyoutoshi","二ノ瀬","にノせ","ニノセ","な","katakana_remains"
"nipponrainimawatari-gifu-kanishi","日本ライン今渡","にほんラインいまわたり","ニホンラインイマワタリ","な","katakana_remains"
"niseko-hokkaido-nisekomachi","ニセコ","ニセコ","ニセコ","その他","katakana_remains"
"nishiharukouhaatopia-fukui-sakaishi","西春江ハートピア","にしはるえハートピア","ニシハルエハートピア","な","katakana_remains"
"nishiisahaya-nagasaki-soushi","西諫早","にし諫はや","ニシ諫ハヤ","な","kanji_remains"
"nishinokuchi-aichi-tokonameshi","西ノ口","にしノくち","ニシノクチ","な","katakana_remains"
"nishinokyou-nara-narashi","西ノ京","にしノきょう","ニシノキョウ","な","katakana_remains"
"nishinoshou-wakayama-wakayamashi","西ノ庄","にしノしょう","ニシノショウ","な","katakana_remains"
"nitsui-akita-noshiroshi","二ツ井","ふたツい","フタツイ","は","katakana_remains"
"nitsuiri-aichi-kiyosushi","二ツ杁","ふたツいり","フタツイリ","は","katakana_remains"
"nochi-okayama-niimishi","野馳","の馳","ノ馳","な","kanji_remains"
"noginama-yamanashi-tsurushi","禾生","禾せい","禾セイ","その他","kanji_remains"
"noofookuhiroba-fukuoka-kitakyuushuushi","ノーフォーク広場","ノーフォークひろば","ノーフォークヒロバ","その他","katakana_remains"
"numanohaji-hokkaido-tomakomaishi","沼ノ端","ぬまノはた","ヌマノハタ","な","katakana_remains"
"numanohaji-hokkaido-tomakomaishi","沼ノ端","ぬまノはた","ヌマノハタ","な","katakana_remains"
"ochanomizu-tokyo-bunkyouku","御茶ノ水","おちゃノみず","オチャノミズ","あ","katakana_remains"
"ochanomizu-tokyo-chiyodaku","御茶ノ水","おちゃノみず","オチャノミズ","あ","katakana_remains"
"ochanomizu-tokyo-chiyodaku","御茶ノ水","おちゃノみず","オチャノミズ","あ","katakana_remains"
"odakyuutamasentaa-tokyo-tamashi","小田急多摩センター","おだきゅうたまセンター","オダキュウタマセンター","あ","katakana_remains"
"oginoshiro-niigata-izumozakimachi","小木ノ城","おぎノじょう","オギノジョウ","あ","katakana_remains"
"ona-shizuoka-hamamatsushi","尾奈","お奈","オ奈","あ","kanji_remains"
"ookawadamukouen-fukushima-aizuwakamatsushi","大川ダム公園","おおかわダムこうえん","オオカワダムコウエン","あ","katakana_remains"
"ookusukanarupaakuhoterutoyamamae-toyama-toyamashi","オークスカナルパークホテル富山前","オークスカナルパークホテルとやままえ","オークスカナルパークホテルトヤママエ","その他","katakana_remains"
"oomori.kinjougakuinmae-aichi-nagoyashi","大森・金城学院前","おおもり・きんじょうがくいんまえ","オオモリ・キンジョウガクインマエ","あ","katakana_remains"
"oosakabijinesupaaku-osaka-oosakashi","大阪ビジネスパーク","おおさかビジネスパーク","オオサカビジネスパーク","あ","katakana_remains"
"ootemooru-toyama-toyamashi","大手モール","おおてモール","オオテモール","あ","katakana_remains"
"ootsuka.teikyoudaigaku-tokyo-hachioujishi","大塚・帝京大学","おおつか・ていきょうだいがく","オオツカ・テイキョウダイガク","あ","katakana_remains"
"ooyamakeeburu-kanagawa-iseharashi","大山ケーブル","おおやまケーブル","オオヤマケーブル","あ","katakana_remains"
"orenjitaun-kagawa-sanukishi","オレンジタウン","オレンジタウン","オレンジタウン","その他","katakana_remains"
"poototaaminaru-hyogo-koubeshi","ポートターミナル","ポートターミナル","ポートターミナル","その他","katakana_remains"
"poototaunhigashi-osaka-oosakashi","ポートタウン東","ポートタウンひがし","ポートタウンヒガシ","その他","katakana_remains"
"poototaunnishi-osaka-oosakashi","ポートタウン西","ポートタウンにし","ポートタウンニシ","その他","katakana_remains"
"reiwakosutayukuhashi-fukuoka-yukuhashishi","令和コスタ行橋","りょうわコスタゆくはし","リョウワコスタユクハシ","ら","katakana_remains"
"rikuzenharanomachi-miyagi-sendaishi","陸前原ノ町","りくぜんはらノまち","リクゼンハラノマチ","ら","katakana_remains"
"rinkuutaun-osaka-izumisanoshi","りんくうタウン","りんくうタウン","リンクウタウン","ら","katakana_remains"
"rinkuutaun-osaka-izumisanoshi","りんくうタウン","りんくうタウン","リンクウタウン","ら","katakana_remains"
"rizootogeetouei･suteeshon-chiba-urayasushi","リゾートゲートウェイ･ステーション","リゾートゲートウェイ･ステーション","リゾートゲートウェイ･ステーション","その他","katakana_remains"
"roizutaun-hokkaido-toubetsumachi","ロイズタウン","ロイズタウン","ロイズタウン","その他","katakana_remains"
"rokkoukeeburushita-hyogo-koubeshi","六甲ケーブル下","ろっこうケーブルか","ロッコウケーブルカ","ら","katakana_remains"
"roopuueiiriguchi-hokkaido-sapporoshi","ロープウェイ入口","ロープウェイいりぐち","ロープウェイイリグチ","その他","katakana_remains"
"ryuukemizu-kagoshima-kagoshimashi","竜ヶ水","りゅうヶすい","リュウヶスイ","ら","kanji_remains;katakana_remains"
"ryuutsuusentaa-tokyo-ootaku","流通センター","りゅうつうセンター","リュウツウセンター","ら","katakana_remains"
"saginomiya-tokyo-nakanoku","鷺ノ宮","さぎノみや","サギノミヤ","さ","katakana_remains"
"saishuniryousentaamae-kumamoto-koushishi","再春医療センター前","さいはるいりょうセンターまえ","サイハルイリョウセンターマエ","さ","katakana_remains"
"sakanoshi-oita-ooitashi","坂ノ市","さかノいち","サカノイチ","さ","katakana_remains"
"sakuranomiya-osaka-oosakashi","桜ノ宮","さくらノみや","サクラノミヤ","さ","katakana_remains"
"sakuuminokuchi-nagano-nanmokumura","佐久海ノ口","さくうみノくち","サクウミノクチ","さ","katakana_remains"
"sandoomunishi-fukui-sabaeshi","サンドーム西","サンドームにし","サンドームニシ","その他","katakana_remains"
"sangyoushinkousentaa-kanagawa-yokohamashi","産業振興センター","さんぎょうしんこうセンター","サンギョウシンコウセンター","さ","katakana_remains"
"sankeyamaguchi-osaka-kaizukashi","三ヶ山口","さんヶやまぐち","サンヶヤマグチ","さ","kanji_remains;katakana_remains"
"sannomiya-hyogo-koubeshi","三ノ宮","さんノみや","サンノミヤ","さ","katakana_remains"
"sannomiya.hanadokeimae-hyogo-koubeshi","三宮・花時計前","さんのみや・はなとけいまえ","サンノミヤ・ハナトケイマエ","さ","katakana_remains"
"sannowa-tokyo-taitouku","三ノ輪","みノわ","ミノワ","ま","katakana_remains"
"sannowahashi-tokyo-arakawaku","三ノ輪橋","みノわきょう","ミノワキョウ","ま","katakana_remains"
"santsuishi-kumamoto-koushishi","三ツ石","みツいし","ミツイシ","ま","katakana_remains"
"santsumatsu-osaka-kaizukashi","三ツ松","みつまツ","ミツマツ","ま","katakana_remains"
"santsusakai-kanagawa-yokohamashi","三ツ境","みツざかい","ミツザカイ","ま","katakana_remains"
"santsusawakamimachi-kanagawa-yokohamashi","三ツ沢上町","みツざわかみまち","ミツザワカミマチ","ま","katakana_remains"
"santsusawashitamachi-kanagawa-yokohamashi","三ツ沢下町","みツざわしもまち","ミツザワシモマチ","ま","katakana_remains"
"santsuya-ishikawa-kanazawashi","三ツ屋","みツや","ミツヤ","ま","katakana_remains"
"sapporobiiruteien-hokkaido-eniwashi","サッポロビール庭園","サッポロビールていえん","サッポロビールテイエン","その他","katakana_remains"
"sasashimaraibu-aichi-nagoyashi","ささしまライブ","ささしまライブ","ササシマライブ","さ","katakana_remains"
"sassa-nagasaki-sasamachi","佐々","さ々","サ々","さ","kanji_remains"
"sawanomachi-osaka-oosakashi","沢ノ町","さわノまち","サワノマチ","さ","katakana_remains"
"seikantonnerukinenkan-aomori-sotohamachou","青函トンネル記念館","せいかんトンネルきねんかん","セイカントンネルキネンカン","さ","katakana_remains"
"senryouketaki-nagasaki-saseboshi","潜竜ヶ滝","せんりゅうヶたき","センリュウヶタキ","さ","kanji_remains;katakana_remains"
"sentaakita-kanagawa-yokohamashi","センター北","センターきた","センターキタ","その他","katakana_remains"
"sentaakita-kanagawa-yokohamashi","センター北","センターきた","センターキタ","その他","katakana_remains"
"sentaaminami-kanagawa-yokohamashi","センター南","センターみなみ","センターミナミ","その他","katakana_remains"
"sentaaminami-kanagawa-yokohamashi","センター南","センターみなみ","センターミナミ","その他","katakana_remains"
"shichikegakutozanguchi-fukushima-minamiaizumachi","七ヶ岳登山口","ななヶだけとざんぐち","ナナヶダケトザングチ","な","kanji_remains;katakana_remains"
"shimanokan-shiga-ootsushi","島ノ関","しまノせき","シマノセキ","さ","katakana_remains"
"shinagawashiisaido-tokyo-shinagawaku","品川シーサイド","しながわシーサイド","シナガワシーサイド","さ","katakana_remains"
"shinami-yamaguchi-ubeshi","岐波","岐は","岐ハ","その他","kanji_remains"
"shinkyuudaigakumae-kyoto-minaminishi","鍼灸大学前","鍼やいとだいがくまえ","鍼ヤイトダイガクマエ","その他","kanji_remains"
"shinnokuchi-nara-kashiharashi","新ノ口","しんノくち","シンノクチ","さ","katakana_remains"
"shinochanomizu-tokyo-chiyodaku","新御茶ノ水","しんおちゃノみず","シンオチャノミズ","さ","katakana_remains"
"shinokawa-kumamoto-asoshi","市ノ川","いちノかわ","イチノカワ","あ","katakana_remains"
"shinonoi-nagano-naganoshi","篠ノ井","しのノい","シノノイ","さ","katakana_remains"
"shinonoi-nagano-naganoshi","篠ノ井","しのノい","シノノイ","さ","katakana_remains"
"shinonoi-nagano-naganoshi","篠ノ井","しのノい","シノノイ","さ","katakana_remains"
"shinose-yamanashi-minobumachi","市ノ瀬","いちノせ","イチノセ","あ","katakana_remains"
"shinsounoki-toyama-kamiichimachi","新相ノ木","しんしょうノき","シンショウノキ","さ","katakana_remains"
"shinyurikeoka-kanagawa-kawasakishi","新百合ヶ丘","しんひゃくごうヶおか","シンヒャクゴウヶオカ","さ","kanji_remains;katakana_remains"
"shinyurikeoka-kanagawa-kawasakishi","新百合ヶ丘","しんひゃくごうヶおか","シンヒャクゴウヶオカ","さ","kanji_remains;katakana_remains"
"shinzoukekkansentaa-gunma-maebashishi","心臓血管センター","しんぞうけっかんセンター","シンゾウケッカンセンター","さ","katakana_remains"
"shionomiya-osaka-kawachinaganoshi","汐ノ宮","しおノみや","シオノミヤ","さ","katakana_remains"
"shiromikeoka-chiba-ootakimachi","城見ヶ丘","しろみヶおか","シロミヶオカ","さ","kanji_remains;katakana_remains"
"shishigayaookura-tokyo-setagayaku","祖師ヶ谷大蔵","そしヶたにおおくら","ソシヶタニオオクラ","さ","kanji_remains;katakana_remains"
"shitanokou-oita-kyuushoshi","下ノ江","したノえ","シタノエ","さ","katakana_remains"
"shitennoujimaeyuuhikeoka-osaka-oosakashi","四天王寺前夕陽ヶ丘","してんのうじぜんゆうひヶおか","シテンノウジゼンユウヒヶオカ","さ","kanji_remains;katakana_remains"
"shitsuhashi-osaka-oosakashi","四ツ橋","よんツきょう","ヨンツキョウ","や","katakana_remains"
